"";"Boguslawa_Andrzejewska_1_Theta_Healing";"Boguslawa_Andrzejewska_2_Badz_zwyciezca_8_krokow_do_sukcesu";"Boguslawa_Andrzejewska_3_Czy_istnieje_prawda";"Boguslawa_Andrzejewska_4_O_pozytywnym_mysleniu";"gwiezdna_wedrowka_czy_leci_z_nami_polak_wydanie_drugie_poprawione";"gwiezdna_wedrowka_lot_von_brauna";"gwiezdna_wedrowka_lot_von_brauna_cz_iii";"gwiezdna_wedrowka_lot_von_brauna_ii";"Jaszczuk_Jakub-Stern_1_Foresta-Umbra_RuLit_Me";"Jaszczuk_Jakub-Stern_2_Plan-Sary_RuLit_Me";"Jaszczuk_Jakub-Stern_3_Marionetki_RuLit_Me";"Jaszczuk_Jakub-Stern_4_Akuszer-smierci_RuLit_Me";"Wiedzmin_1_Ostatnie-zyczenie";"Wiedzmin_2_Miecz-przeznaczenia";"Wiedzmin_3_Krew-elfow";"Wiedzmin_4_Czas-pogardy";"Wiedzmin_5_chszest-ognia";"Wiedzmin_6_Wieza-jaskolki";"Wiedzmin_7_pani-jeziora";"wiedzmin_8_Sezon-burz"
"aparat";0;0;0;0;0,0122206741836177;0;0,0140439199287542;0;0,00448248666966672;0;0,00495080617246772;0;0;0;0;0;0;0;0;0
"apteka";0;0;0;0;0;0;0;0;0,0268949200180003;0,0121885989232932;0;0,0048172782051605;0,00570498303412128;0;0;0;0;0;0;0
"art";0,00576160817589916;0,0105542186131244;0,00535006473476351;0,0117565979487968;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aspekt";0;0,0263855465328109;0,00535006473476351;0,00587829897439839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00580482023721841;0
"astropsycholog";0,00576160817589916;0,0105542186131244;0,00535006473476351;0,00587829897439839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"atrament";0;0;0;0;0;0;0;0;0,00448248666966672;0,0243771978465865;0,00495080617246772;0;0;0;0;0;0;0;0;0,028903669230963
"aureola";0;0;0;0;0;0;0;0;0;0;0;0,0048172782051605;0,00570498303412128;0;0;0;0,00509194757650737;0;0,00580482023721841;0
"awansowac";0;0;0;0;0;0,00455280018605365;0;0,00841278295249044;0;0,00609429946164662;0;0;0;0,0119996283973507;0;0;0;0;0;0
"awaria";0;0;0;0;0,0040735580612059;0;0,0187252265716723;0,00420639147624522;0,00448248666966672;0;0;0;0;0;0;0;0;0;0;0
"baby";0;0;0;0;0,0040735580612059;0,00455280018605365;0;0;0;0;0;0;0,00570498303412128;0,00599981419867535;0;0;0;0;0;0
"baczny";0;0;0;0;0;0;0;0;0;0;0;0;0,00570498303412128;0;0,00376936379040156;0;0,00509194757650737;0,0113264785116457;0;0
"baczyc";0;0;0;0;0;0;0;0;0;0;0;0;0;0,00599981419867535;0,00753872758080312;0,0117269095701382;0;0;0;0,00963455641032101
"badac";0;0,00527710930656219;0;0;0,0040735580612059;0;0;0,00420639147624522;0;0;0;0;0;0;0;0;0;0;0;0,019269112820642
"badanie";0;0;0,010700129469527;0,00587829897439839;0;0,00455280018605365;0;0;0;0;0;0;0,00570498303412128;0;0;0;0;0;0;0
"balustrada";0;0;0;0;0;0;0;0;0;0,00609429946164662;0;0;0,0114099660682426;0,0179994425960261;0;0;0;0;0,0116096404744368;0
"bankowy";0;0;0;0,00587829897439839;0;0;0;0;0;0;0,00495080617246772;0;0;0;0;0,0058634547850691;0;0,00566323925582283;0;0
"barani";0;0;0;0;0;0;0,00468130664291807;0;0;0;0;0;0,00570498303412128;0,00599981419867535;0,00376936379040156;0;0;0;0;0
"bard";0;0;0;0;0;0;0;0;0;0;0;0;0;0,0359988851920521;0,0263855465328109;0;0;0;0,00580482023721841;0,038538225641284
"baron";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00376936379040156;0,0058634547850691;0,00509194757650737;0,0283161962791142;0;0
"barwny";0;0;0;0;0,0040735580612059;0,00455280018605365;0;0;0,00448248666966672;0,0121885989232932;0;0;0;0;0;0;0;0;0;0
"baza";0;0;0;0;0;0,00455280018605365;0,00936261328583614;0,0336511318099618;0;0;0;0;0;0;0;0,0058634547850691;0;0;0;0
"beczka";0;0;0;0;0;0;0;0;0,00448248666966672;0;0;0;0,00570498303412128;0;0,00753872758080312;0;0;0;0;0,028903669230963
"bedziecie";0;0;0;0;0;0;0;0;0;0;0;0;0;0,00599981419867535;0,00376936379040156;0,0058634547850691;0,00509194757650737;0;0;0
"beret";0;0;0;0;0,0040735580612059;0;0;0;0;0;0;0;0;0;0;0,0058634547850691;0;0,0113264785116457;0;0,028903669230963
"bezbronny";0;0;0;0;0,0040735580612059;0;0;0;0,00448248666966672;0;0;0;0;0;0,00753872758080312;0;0;0;0;0,019269112820642
"biblioteka";0;0;0;0;0,0162942322448236;0;0;0;0;0;0;0,0048172782051605;0;0;0;0,0058634547850691;0;0;0,0232192809488736;0
"biegiem";0;0,00527710930656219;0;0;0;0,00455280018605365;0;0;0;0;0;0,0048172782051605;0;0;0;0;0;0;0,00580482023721841;0
"bielizna";0;0;0;0;0;0,00455280018605365;0,00468130664291807;0;0;0;0;0,0048172782051605;0;0,00599981419867535;0;0;0;0;0;0
"biznesowy";0,00576160817589916;0,00527710930656219;0,00535006473476351;0,00587829897439839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"blokada";0;0;0;0,00587829897439839;0,0040735580612059;0;0,00468130664291807;0;0;0;0;0;0;0;0;0;0,0101838951530147;0;0;0
"blokowac";0;0;0;0,00587829897439839;0;0;0;0,00841278295249044;0;0;0;0;0,00570498303412128;0,0119996283973507;0;0;0;0;0;0
"blondyn";0,00576160817589916;0;0;0;0,0040735580612059;0;0;0;0;0;0;0,0048172782051605;0;0;0;0;0;0;0;0,00963455641032101
"bloto";0;0,00527710930656219;0;0;0,0040735580612059;0;0;0;0;0;0;0;0,00570498303412128;0;0,00753872758080312;0;0;0;0;0
"bluszcz";0;0;0;0;0;0;0;0;0;0;0,00495080617246772;0,0048172782051605;0,0114099660682426;0;0;0;0;0,00566323925582283;0;0
"blysk";0;0;0;0,00587829897439839;0;0;0;0;0;0;0,00495080617246772;0;0;0;0,0113080913712047;0;0,00509194757650737;0;0;0
"boczny";0;0;0;0;0;0;0;0;0,00448248666966672;0,00609429946164662;0;0,0048172782051605;0;0;0,00376936379040156;0;0;0;0;0
"boguslawa";0,00576160817589916;0,00527710930656219;0,021400258939054;0,0176348969231952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bohaterski";0;0;0;0;0,0040735580612059;0;0;0;0;0;0;0;0;0,00599981419867535;0,00376936379040156;0;0;0;0,00580482023721841;0
"boimy";0,00576160817589916;0,00527710930656219;0,0160501942042905;0,0117565979487968;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"boja";0,00576160817589916;0;0,00535006473476351;0;0;0;0,00468130664291807;0;0;0;0;0;0;0;0;0;0;0;0,00580482023721841;0
"bor";0;0;0;0;0;0;0;0;0;0;0;0;0,00570498303412128;0,00599981419867535;0,00376936379040156;0;0;0;0;0,00963455641032101
"bozy";0;0;0;0;0;0;0;0;0,00448248666966672;0;0,00495080617246772;0;0;0,00599981419867535;0,0113080913712047;0;0;0;0;0
"brata";0;0;0;0;0;0;0;0;0;0;0,00495080617246772;0;0;0;0;0;0,00509194757650737;0,00566323925582283;0;0,00963455641032101
"brazowy";0;0,00527710930656219;0;0;0;0;0;0;0,00448248666966672;0;0,00990161234493545;0;0;0,00599981419867535;0;0;0;0;0;0
"brednia";0;0;0;0;0;0;0;0;0;0,0121885989232932;0;0;0;0,0119996283973507;0,00376936379040156;0,0058634547850691;0;0;0;0
"brodaty";0;0;0;0;0;0;0;0;0;0;0;0,019269112820642;0;0,0179994425960261;0,00376936379040156;0;0;0;0;0,00963455641032101
"brzeczec";0;0;0;0;0;0;0;0;0;0;0,00495080617246772;0;0;0,00599981419867535;0,00376936379040156;0;0,00509194757650737;0;0;0
"bujac";0;0;0;0;0,0040735580612059;0;0;0;0,00448248666966672;0,00609429946164662;0;0,00963455641032101;0;0;0;0;0;0;0;0
"bujny";0;0;0;0;0;0;0;0;0,00448248666966672;0;0,00495080617246772;0;0;0;0;0,0058634547850691;0;0,00566323925582283;0;0
"burta";0;0;0;0;0,0040735580612059;0;0,00468130664291807;0;0;0;0;0;0;0;0;0;0;0,00566323925582283;0,029024101186092;0
"bury";0;0;0;0;0;0;0;0;0,00448248666966672;0;0,00990161234493545;0;0;0;0;0;0;0,0113264785116457;0;0,028903669230963
"bystry";0;0;0;0;0;0,00455280018605365;0;0;0;0;0;0;0;0;0;0,0058634547850691;0,0101838951530147;0;0,00580482023721841;0
"cebulka";0,0115232163517983;0;0,00535006473476351;0;0;0;0;0;0,00448248666966672;0;0;0;0;0;0;0;0;0,00566323925582283;0;0
"cegla";0;0;0,00535006473476351;0;0;0;0;0;0;0;0,00495080617246772;0;0;0,00599981419867535;0,00376936379040156;0;0;0;0;0
"ceglany";0;0;0;0;0;0;0;0;0,00448248666966672;0;0,00990161234493545;0,00963455641032101;0;0,00599981419867535;0;0;0;0;0;0
"celny";0;0;0;0;0;0;0;0;0;0,00609429946164662;0;0,0048172782051605;0;0;0;0;0,00509194757650737;0;0;0,00963455641032101
"centrum";0;0;0;0;0;0;0,00468130664291807;0;0;0,00609429946164662;0;0,0048172782051605;0;0;0;0;0;0;0;0,019269112820642
"cera";0;0;0;0;0;0;0;0;0,00448248666966672;0;0,0148524185174032;0;0;0;0;0,0058634547850691;0,00509194757650737;0;0;0
"channeling";0,00576160817589916;0,0105542186131244;0,00535006473476351;0,00587829897439839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"chciwosc";0,00576160817589916;0,00527710930656219;0,00535006473476351;0;0;0;0;0;0;0;0;0;0;0;0,00376936379040156;0;0;0;0;0
"chlopa";0;0;0;0;0;0;0;0;0;0;0;0;0,00570498303412128;0;0,00376936379040156;0,0058634547850691;0,00509194757650737;0;0;0
"chlopca";0;0;0;0;0;0,0182112007442146;0,0187252265716723;0;0;0;0;0;0;0;0,00753872758080312;0;0;0,0113264785116457;0;0
"chora";0;0;0,00535006473476351;0;0;0;0;0;0,00448248666966672;0;0;0;0,00570498303412128;0;0;0;0;0,0226529570232913;0;0
"chusta";0;0;0;0;0;0;0;0;0;0;0;0,0048172782051605;0;0;0,00753872758080312;0;0;0,00566323925582283;0;0,00963455641032101
"chwytac";0;0;0;0,00587829897439839;0;0,00455280018605365;0;0;0,00448248666966672;0;0;0;0;0;0;0,0058634547850691;0;0;0;0
"chwytajac";0;0;0;0;0;0,00455280018605365;0;0,00841278295249044;0;0;0;0;0,00570498303412128;0;0;0;0;0,00566323925582283;0;0
"ciasny";0;0;0;0;0;0;0,00468130664291807;0;0;0;0,00495080617246772;0;0;0;0,00376936379040156;0;0;0;0,00580482023721841;0
"ciaza";0;0;0;0;0;0,00455280018605365;0;0;0;0;0;0;0;0;0;0,0058634547850691;0,00509194757650737;0,0113264785116457;0;0
"cichu";0;0;0;0;0;0;0;0;0;0,0121885989232932;0;0,00963455641032101;0,00570498303412128;0;0;0,0058634547850691;0;0;0;0
"ciekawszy";0;0,00527710930656219;0;0;0,0040735580612059;0;0;0;0;0;0;0;0,00570498303412128;0;0;0;0;0;0;0,00963455641032101
"ciety";0;0;0;0;0;0;0;0;0,00448248666966672;0;0;0;0;0,00599981419867535;0,00376936379040156;0;0;0,00566323925582283;0;0
"cintre";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0113080913712047;0,0058634547850691;0,00509194757650737;0,00566323925582283;0;0
"cintrze";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0150774551616062;0,0117269095701382;0,00509194757650737;0,0113264785116457;0;0
"ciszej";0;0;0;0;0;0;0;0;0,00448248666966672;0;0;0;0,00570498303412128;0;0;0;0,00509194757650737;0,00566323925582283;0;0
"cmentarz";0;0;0;0;0;0;0;0;0,0179299466786669;0,0121885989232932;0,00495080617246772;0,00963455641032101;0;0;0;0;0;0;0;0
"cud";0;0;0;0;0;0,00455280018605365;0;0;0;0;0,00495080617246772;0;0,00570498303412128;0;0;0;0;0;0;0,00963455641032101
"cudny";0;0;0,00535006473476351;0;0,0040735580612059;0;0;0;0;0;0;0,0048172782051605;0;0;0;0;0;0;0,00580482023721841;0
"cudo";0;0;0,00535006473476351;0;0,0040735580612059;0;0;0;0;0;0,00495080617246772;0;0;0;0;0;0,00509194757650737;0;0;0
"cudze";0;0,00527710930656219;0;0;0,0040735580612059;0;0;0;0;0;0;0;0,00570498303412128;0,00599981419867535;0;0;0;0;0;0
"cukier";0;0,0158313279196866;0,0267503236738175;0;0;0;0;0;0,00448248666966672;0;0;0,0048172782051605;0;0;0;0;0;0;0;0
"cwiek";0;0;0;0;0;0;0;0;0;0;0;0;0,0114099660682426;0,00599981419867535;0;0,0058634547850691;0;0,00566323925582283;0;0
"cwierc";0;0;0;0;0;0;0;0;0;0,00609429946164662;0;0;0;0,0239992567947014;0,00753872758080312;0;0;0;0,00580482023721841;0
"cyfra";0;0;0;0;0;0,00455280018605365;0;0,00420639147624522;0,00448248666966672;0,00609429946164662;0;0;0;0;0;0;0;0;0;0
"cykl";0;0;0,010700129469527;0;0;0;0;0;0,00448248666966672;0;0;0;0,00570498303412128;0;0;0;0;0,0113264785116457;0;0
"czaic";0;0;0;0;0;0;0;0;0;0,00609429946164662;0;0;0,00570498303412128;0;0,00376936379040156;0;0;0,00566323925582283;0;0
"czar";0;0;0;0;0;0;0;0;0,00448248666966672;0;0;0;0,0342298982047277;0;0,0113080913712047;0;0;0;0,0116096404744368;0
"czara";0;0;0;0;0;0;0;0;0;0;0;0;0,00570498303412128;0,0119996283973507;0,00376936379040156;0;0;0;0;0,00963455641032101
"czarno";0;0;0;0;0;0;0;0;0;0,00609429946164662;0,00495080617246772;0,0048172782051605;0;0;0;0;0;0;0;0,019269112820642
"czarownik";0;0;0;0;0;0;0;0;0;0;0;0;0,039934881238849;0,0419986993907275;0,00376936379040156;0;0,00509194757650737;0;0;0
"czasoprzestrzen";0,00576160817589916;0;0;0,00587829897439839;0,0040735580612059;0,00455280018605365;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"czasowy";0;0;0,00535006473476351;0;0,0040735580612059;0,00455280018605365;0;0;0;0;0;0;0;0;0;0;0;0,00566323925582283;0;0
"czcic";0,00576160817589916;0;0,00535006473476351;0;0;0;0;0;0;0;0;0;0,00570498303412128;0;0;0;0;0;0;0,00963455641032101
"czegokolwiek";0;0;0,00535006473476351;0,0117565979487968;0;0;0;0;0,00448248666966672;0;0;0;0;0;0;0;0;0;0;0,00963455641032101
"czekajac";0;0;0;0;0;0;0;0;0,00896497333933344;0,0182828983849399;0,00990161234493545;0;0;0;0;0;0;0;0,00580482023721841;0
"czerwiec";0;0;0;0;0;0;0;0;0,00448248666966672;0;0,0148524185174032;0,0048172782051605;0;0;0;0,0058634547850691;0;0;0;0
"czlek";0;0;0;0;0;0;0;0;0;0;0;0;0,0114099660682426;0,0119996283973507;0;0;0,00509194757650737;0,0226529570232913;0;0
"czolem";0;0;0;0;0;0;0;0;0;0;0,00990161234493545;0;0,0114099660682426;0;0,00753872758080312;0;0;0,00566323925582283;0;0
"czterdziesci";0;0;0;0;0;0;0,00468130664291807;0;0;0;0;0,0048172782051605;0;0,00599981419867535;0;0,0058634547850691;0;0;0;0
"czwartek";0;0;0;0;0;0;0;0;0,00448248666966672;0;0,0148524185174032;0,0048172782051605;0;0;0,00753872758080312;0;0;0;0;0
"czyjas";0;0;0;0;0;0;0;0;0;0,0121885989232932;0;0;0;0;0;0,0058634547850691;0;0,00566323925582283;0,00580482023721841;0
"czynnosc";0;0;0;0;0;0;0,00468130664291807;0;0;0;0,00495080617246772;0,00963455641032101;0;0,00599981419867535;0;0;0;0;0;0
"czynny";0;0;0;0,0176348969231952;0;0,00455280018605365;0;0,00420639147624522;0;0;0;0;0;0;0;0;0,0101838951530147;0;0;0
"czysto";0;0;0;0;0,0040735580612059;0;0;0,00420639147624522;0;0;0;0;0,00570498303412128;0,00599981419867535;0;0;0;0;0;0
"czystosc";0,00576160817589916;0,00527710930656219;0,021400258939054;0,00587829897439839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"czytanie";0,0115232163517983;0,00527710930656219;0;0;0,0081471161224118;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0174144607116552;0
"czyz";0,00576160817589916;0;0;0;0;0;0;0;0,00448248666966672;0;0;0;0;0;0,0113080913712047;0;0;0;0,00580482023721841;0
"dab";0;0;0,010700129469527;0;0;0;0;0;0;0;0;0;0;0,00599981419867535;0,0301549103232125;0;0;0;0,00580482023721841;0
"dala";0;0;0,00535006473476351;0,00587829897439839;0;0;0;0;0,00448248666966672;0;0;0;0;0;0;0,0117269095701382;0;0;0;0
"danie";0;0,0211084372262487;0,010700129469527;0;0;0;0;0;0;0;0;0,0048172782051605;0;0;0;0;0;0;0;0,00963455641032101
"dawniej";0;0;0;0;0;0;0;0;0;0,0121885989232932;0;0;0,0171149491023639;0;0,00753872758080312;0;0;0,00566323925582283;0;0
"deba";0,00576160817589916;0;0;0;0;0;0;0;0;0;0;0;0;0,00599981419867535;0,00753872758080312;0,0058634547850691;0;0;0;0
"delegacja";0;0;0;0,00587829897439839;0;0;0;0;0,00448248666966672;0,0121885989232932;0,00495080617246772;0;0;0;0;0;0;0;0;0
"demonstracyjny";0;0;0;0;0;0;0;0;0;0;0,00990161234493545;0;0;0,0119996283973507;0,00376936379040156;0;0,00509194757650737;0;0;0
"deptac";0;0;0;0;0;0;0;0;0,00448248666966672;0;0;0;0;0;0;0,0058634547850691;0,00509194757650737;0,00566323925582283;0;0
"diabel";0;0;0;0;0,0122206741836177;0;0;0;0,00448248666966672;0;0,00990161234493545;0,0048172782051605;0;0;0;0;0;0;0;0
"diabelny";0;0;0;0;0;0;0;0;0;0;0;0;0,00570498303412128;0;0;0,0058634547850691;0,00509194757650737;0,00566323925582283;0;0
"dlawic";0;0,00527710930656219;0;0;0;0;0;0;0;0;0;0;0,00570498303412128;0;0,00753872758080312;0;0;0;0,00580482023721841;0
"dobiegl";0;0;0;0;0,0040735580612059;0;0;0,00420639147624522;0;0;0;0;0;0;0,00376936379040156;0;0;0;0,00580482023721841;0
"dojechac";0;0;0,00535006473476351;0;0;0;0;0;0,00448248666966672;0,00609429946164662;0;0;0;0;0;0;0,00509194757650737;0;0;0
"dojrzaly";0;0;0,010700129469527;0,00587829897439839;0;0;0;0;0,00448248666966672;0;0;0;0;0;0;0;0;0,00566323925582283;0;0
"doktor";0;0;0;0;0,0203677903060295;0,0500808020465902;0,0280878398575084;0,00841278295249044;0;0;0;0;0;0;0;0;0;0;0;0
"doktora";0;0,00527710930656219;0;0;0,0122206741836177;0,00455280018605365;0;0,00420639147624522;0;0;0;0;0;0;0;0;0;0;0;0
"dokuczyc";0;0;0;0;0;0,00455280018605365;0;0;0;0;0;0;0,00570498303412128;0;0;0;0;0,00566323925582283;0;0,00963455641032101
"dolaczyc";0;0;0;0;0,0040735580612059;0,0091056003721073;0,0140439199287542;0;0;0;0;0;0;0,0299990709933768;0;0;0;0;0;0
"doleciec";0;0;0;0;0;0,00455280018605365;0;0;0;0;0,00495080617246772;0,00963455641032101;0;0;0;0;0;0;0,00580482023721841;0
"domem";0,00576160817589916;0;0,010700129469527;0;0;0,00455280018605365;0;0;0;0,0121885989232932;0;0;0;0;0;0;0;0;0;0
"domysl";0;0;0;0;0,0040735580612059;0;0;0;0;0;0,00495080617246772;0;0;0;0;0;0;0,00566323925582283;0,00580482023721841;0
"donosny";0;0;0;0;0;0;0;0;0;0;0;0,0048172782051605;0;0,00599981419867535;0,00376936379040156;0,0117269095701382;0;0;0;0
"dopoty";0;0,00527710930656219;0;0;0;0;0;0,00420639147624522;0;0;0,00495080617246772;0;0,00570498303412128;0;0;0;0;0;0;0
"dorastac";0,00576160817589916;0;0,00535006473476351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00580482023721841;0,00963455641032101
"dorosly";0;0,0105542186131244;0,00535006473476351;0;0;0;0;0;0;0;0,00495080617246772;0;0;0;0;0,0058634547850691;0;0;0;0
"dostateczny";0;0;0;0;0,0040735580612059;0;0,00468130664291807;0,00420639147624522;0;0;0;0;0;0,00599981419867535;0;0;0;0;0;0
"dotkliwy";0;0;0;0;0,0040735580612059;0;0,00468130664291807;0;0;0;0;0;0;0,00599981419867535;0;0;0;0,00566323925582283;0;0
"dotrzymywac";0;0;0;0;0;0,00455280018605365;0;0;0,00448248666966672;0;0,00495080617246772;0;0;0;0;0;0;0,0113264785116457;0;0
"dowodztwo";0;0;0;0;0,0040735580612059;0,0273168011163219;0,0234065332145903;0,00420639147624522;0;0;0;0;0;0;0;0;0;0;0;0
"dramat";0,00576160817589916;0,00527710930656219;0;0;0;0,00455280018605365;0;0;0;0,00609429946164662;0;0;0;0;0;0;0;0;0;0
"drapiezny";0;0;0;0;0;0;0;0;0,00448248666966672;0;0;0,0048172782051605;0;0;0,00753872758080312;0,0117269095701382;0;0;0;0
"dreczyc";0,00576160817589916;0;0;0;0;0;0,00468130664291807;0;0,00448248666966672;0;0;0;0;0;0;0;0,00509194757650737;0;0;0
"drgac";0;0;0;0;0;0;0;0;0;0;0;0;0,00570498303412128;0;0,00376936379040156;0,0058634547850691;0,00509194757650737;0;0;0
"druh";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0058634547850691;0;0,00566323925582283;0,0174144607116552;0,00963455641032101
"druid";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0226161827424094;0,0175903643552073;0;0,00566323925582283;0,00580482023721841;0
"drwic";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00753872758080312;0,0117269095701382;0;0,00566323925582283;0,0116096404744368;0
"duszacy";0;0;0;0;0;0;0;0;0;0;0;0;0;0,00599981419867535;0,00376936379040156;0,0058634547850691;0;0,00566323925582283;0;0
"dworze";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00753872758080312;0,0058634547850691;0,00509194757650737;0;0,0116096404744368;0
"dwudziestu";0;0,00527710930656219;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0058634547850691;0;0,0113264785116457;0;0,00963455641032101
"dwumiesiecznik";0,00576160817589916;0,00527710930656219;0,00535006473476351;0,00587829897439839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"dwunastu";0;0;0;0;0;0;0;0;0;0;0;0,0048172782051605;0;0;0,00376936379040156;0;0,0101838951530147;0;0,00580482023721841;0
"dwupietrowy";0;0;0;0;0;0;0;0;0,00448248666966672;0,00609429946164662;0,00495080617246772;0,00963455641032101;0;0;0;0;0;0;0;0
"dyskrecja";0;0;0;0;0;0;0;0;0,00448248666966672;0,00609429946164662;0;0;0;0,00599981419867535;0;0;0,00509194757650737;0;0;0
"dysputa";0;0;0;0;0;0;0,00468130664291807;0;0,00448248666966672;0;0;0;0;0;0;0;0;0;0,00580482023721841;0,00963455641032101
"dziac";0,00576160817589916;0,00527710930656219;0;0,00587829897439839;0;0;0;0;0,00448248666966672;0;0;0;0;0;0;0;0;0;0;0
"dziad";0;0;0;0;0;0;0;0;0,00896497333933344;0;0;0;0,00570498303412128;0;0;0;0,00509194757650737;0;0,00580482023721841;0
"dzial";0;0;0;0,00587829897439839;0,0040735580612059;0,0182112007442146;0,0187252265716723;0;0;0;0;0;0;0;0;0;0;0;0;0
"dzialu";0;0;0;0;0;0,00455280018605365;0;0,00420639147624522;0,00448248666966672;0;0;0,0048172782051605;0;0;0;0;0;0;0;0
"dzieciak";0;0;0;0;0;0;0,00936261328583614;0;0,00448248666966672;0;0;0;0;0;0,0113080913712047;0,0058634547850691;0;0;0;0
"dziedziniec";0;0;0;0;0;0;0;0;0,00448248666966672;0;0,00495080617246772;0;0,0228199321364851;0;0;0,0058634547850691;0;0;0;0
